time,latitude,longitude,altitude,speed,bearing,num_of_satellites,HDOP
52212,5442.8824,2518.9532,85.3,36.57,11.7,12,0.75
52213,5442.8924,2518.9565,85.8,36.57,11.7,12,0.83
52213,5442.8924,2518.9565,85.8,36.92,10.6,12,0.83
52214,5442.9027,2518.9596,85.6,36.92,10.6,13,0.73
52214,5442.9027,2518.9596,85.6,36.4,9.74,13,0.73
52215,5442.9128,2518.962,85.7,36.4,9.74,13,0.73
52215,5442.9128,2518.962,85.7,35.96,10.87,13,0.73
52216,5442.9228,2518.9651,85.5,35.96,10.87,12,0.85
52216,5442.9228,2518.9651,85.5,35.41,10.62,12,0.85
52217,5442.9326,2518.9684,85.3,35.41,10.62,12,0.81
52217,5442.9326,2518.9684,85.3,35.4,11.79,12,0.81
52218,5442.9424,2518.972,85.3,35.4,11.79,12,0.79
52218,5442.9424,2518.972,85.3,34.87,11.81,12,0.79
52219,5442.9522,2518.9758,84.3,34.87,11.81,12,0.79
52219,5442.9522,2518.9758,84.3,34.81,12.51,12,0.79
52220,5442.9616,2518.9796,83.9,34.81,12.51,13,0.73
52220,5442.9616,2518.9796,83.9,34.3,9.92,13,0.73
52221,5442.9711,2518.983,83.5,34.3,9.92,11,0.89
52221,5442.9711,2518.983,83.5,34.48,7.68,11,0.89
52222,5442.9806,2518.9857,83.2,34.48,7.68,11,0.89
52222,5442.9806,2518.9857,83.2,34.54,6.79,11,0.89
52223,5442.9901,2518.988,83.2,34.54,6.79,11,0.82
52223,5442.9901,2518.988,83.2,34.71,7.19,11,0.82
52224,5442.9998,2518.9902,83.1,34.71,7.19,12,0.82
52224,5442.9998,2518.9902,83.1,34.7,8.28,12,0.82
52225,5443.0095,2518.9925,82.5,34.7,8.28,11,0.92
52225,5443.0095,2518.9925,82.5,34.71,8.56,11,0.92
52226,5443.0192,2518.9949,81.6,34.71,8.56,13,0.79
52226,5443.0192,2518.9949,81.6,34.24,9.21,13,0.79
52227,5443.0287,2518.9976,80.6,34.24,9.21,12,0.8
52227,5443.0287,2518.9976,80.6,33.43,8.44,12,0.8
52228,5443.0382,2519.0001,79.7,33.43,8.44,12,0.79
52228,5443.0382,2519.0001,79.7,32.47,9.38,12,0.79
52229,5443.0473,2519.0026,78.6,32.47,9.38,12,0.8
52229,5443.0473,2519.0026,78.6,30.98,10.21,12,0.8
52230,5443.0559,2519.0053,78.7,30.98,10.21,13,0.79
52230,5443.0559,2519.0053,78.7,30.11,10.14,13,0.79
52231,5443.0644,2519.0077,78,30.11,10.14,12,0.85
52231,5443.0644,2519.0077,78,28.67,10.5,12,0.85
52232,5443.0726,2519.01,77.3,28.67,10.5,13,0.73
52232,5443.0726,2519.01,77.3,25.87,9.44,13,0.73
52233,5443.0801,2519.0122,76.5,25.87,9.44,13,0.73
52233,5443.0801,2519.0122,76.5,23.09,10.41,13,0.73
